record_id,employee_id,year,month,base_salary,bonus,overtime_pay,deduction,net_salary,payment_date
92,10012,2026,4,54848,5000,0,811,59037,2026-04-25
93,10012,2026,5,54848,0,1000,940,54908,2026-05-25
94,10012,2026,6,54848,5000,2000,976,60872,2026-06-25
95,10012,2026,7,54848,3000,3000,1191,59657,2026-07-25
96,10012,2026,8,54848,0,3000,1312,56536,2026-08-25
97,10013,2026,1,42094,8000,1000,1174,49920,2026-01-25
98,10013,2026,2,42094,0,2000,1027,43067,2026-02-25
99,10013,2026,3,42094,8000,2000,595,51499,2026-03-25
100,10013,2026,4,42094,0,2000,730,43364,2026-04-25
101,10013,2026,5,42094,0,1000,525,42569,2026-05-25
102,10013,2026,6,42094,0,1000,986,42108,2026-06-25
103,10013,2026,7,42094,5000,0,966,46128,2026-07-25
104,10013,2026,8,42094,3000,1000,1235,44859,2026-08-25
105,10014,2026,1,71029,8000,3000,1006,81023,2026-01-25
106,10014,2026,2,71029,3000,1000,651,74378,2026-02-25
107,10014,2026,3,71029,8000,0,1414,77615,2026-03-25
108,10014,2026,4,71029,0,3000,724,73305,2026-04-25
109,10014,2026,5,71029,0,3000,551,73478,2026-05-25
110,10014,2026,6,71029,5000,1000,1439,75590,2026-06-25
111,10014,2026,7,71029,0,3000,636,73393,2026-07-25
112,10014,2026,8,71029,3000,2000,1472,74557,2026-08-25
113,10015,2026,1,65449,3000,3000,1350,70099,2026-01-25
114,10015,2026,2,65449,5000,3000,1418,72031,2026-02-25
115,10015,2026,3,65449,0,3000,960,67489,2026-03-25
116,10015,2026,4,65449,0,1000,1360,65089,2026-04-25
117,10015,2026,5,65449,8000,2000,1284,74165,2026-05-25
118,10015,2026,6,65449,5000,3000,1141,72308,2026-06-25
119,10015,2026,7,65449,0,2000,950,66499,2026-07-25
120,10015,2026,8,65449,0,2000,740,66709,2026-08-25
121,10016,2026,1,51270,0,2000,827,52443,2026-01-25
122,10016,2026,2,51270,5000,0,641,55629,2026-02-25
123,10016,2026,3,51270,0,1000,892,51378,2026-03-25
124,10016,2026,4,51270,8000,1000,1223,59047,2026-04-25
125,10016,2026,5,51270,0,0,924,50346,2026-05-25
126,10016,2026,6,51270,3000,2000,1055,55215,2026-06-25
127,10016,2026,7,51270,3000,3000,563,56707,2026-07-25
128,10016,2026,8,51270,0,3000,898,53372,2026-08-25
129,10017,2026,1,44423,5000,0,1377,48046,2026-01-25
130,10017,2026,2,44423,5000,3000,988,51435,2026-02-25
131,10017,2026,3,44423,0,2000,805,45618,2026-03-25
132,10017,2026,4,44423,3000,3000,1051,49372,2026-04-25
133,10017,2026,5,44423,8000,1000,999,52424,2026-05-25
134,10017,2026,6,44423,0,2000,946,45477,2026-06-25
135,10017,2026,7,44423,3000,0,898,46525,2026-07-25
136,10017,2026,8,44423,0,3000,1241,46182,2026-08-25
137,10018,2026,1,58571,0,3000,1441,60130,2026-01-25
138,10018,2026,2,58571,0,0,1428,57143,2026-02-25
139,10018,2026,3,58571,3000,0,585,60986,2026-03-25
140,10018,2026,4,58571,8000,3000,638,68933,2026-04-25
141,10018,2026,5,58571,3000,1000,551,62020,2026-05-25
142,10018,2026,6,58571,0,3000,835,60736,2026-06-25
143,10018,2026,7,58571,0,3000,834,60737,2026-07-25
144,10018,2026,8,58571,0,3000,784,60787,2026-08-25
145,10019,2026,1,39582,3000,2000,1354,43228,2026-01-25
146,10019,2026,2,39582,0,3000,519,42063,2026-02-25
147,10019,2026,3,39582,8000,0,1474,46108,2026-03-25
148,10019,2026,4,39582,0,1000,1165,39417,2026-04-25
149,10019,2026,5,39582,0,0,1272,38310,2026-05-25
150,10019,2026,6,39582,0,1000,704,39878,2026-06-25
151,10019,2026,7,39582,0,1000,744,39838,2026-07-25
152,10019,2026,8,39582,0,3000,1185,41397,2026-08-25
153,10020,2026,1,71850,0,1000,976,71874,2026-01-25
154,10020,2026,2,71850,8000,2000,1285,80565,2026-02-25
155,10020,2026,3,71850,0,1000,1120,71730,2026-03-25
156,10020,2026,4,71850,5000,0,1296,75554,2026-04-25
157,10020,2026,5,71850,0,2000,610,73240,2026-05-25
158,10020,2026,6,71850,5000,0,1451,75399,2026-06-25
159,10020,2026,7,71850,0,3000,906,73944,2026-07-25
160,10020,2026,8,71850,8000,1000,577,80273,2026-08-25
